# galname flux_12m7mtp flux_12m7m snr_12m7mtp snr_12m7m
ic1954 54309.6690106 48883.0208436 24.7393289412 24.8334811794
ic5273 29819.5674391 26882.5703086 19.9247210866 20.728416107
ic5332 0.0 0.0 nan nan
ngc0628 2632512.43392 1118902.05085 30.6816984284 20.2804257019
ngc0685 32208.9861516 27860.8266656 11.1358445149 11.3328858727
ngc1087 322335.196024 299222.6744 27.7850333601 28.5430345065
ngc1097 743119.504091 639430.391496 70.4237962691 82.2710401884
ngc1300 266906.774274 256693.253088 16.4441984974 17.6281891533
ngc1317 57704.7058501 56452.5305525 72.5840256763 77.7870392257
ngc1365 3365904.46675 2759812.92683 93.4532878004 105.177097938
ngc1385 172526.209883 166302.527534 23.2717751309 23.9955548782
ngc1433 302617.785406 271096.399462 20.663879595 26.7683410018
ngc1511 301780.937945 279809.78228 43.0934849202 42.9238957712
ngc1512 191344.820088 176033.831296 15.8746952871 17.7209261071
ngc1546 404775.135713 388680.957415 93.0809207645 97.4927667665
ngc1559 489771.302177 471474.886858 23.3743342352 23.2875127949
ngc1566 1184890.46399 1163792.92055 29.9059342654 31.283657244
ngc1637 306709.511172 289433.538081 51.1457172996 54.9145235101
ngc1672 452753.339639 423663.953969 43.4611084764 47.4016610115
ngc1792 386162.736788 449396.660173 89.5813791083 97.0604288915
ngc2090 131682.929697 134853.224416 19.6409885394 19.7591080482
ngc2283 89106.5287121 77780.9580229 12.5513999719 12.8268580854
ngc2566 832553.681306 802827.822489 40.5701046933 43.069657548
ngc2835 186025.29761 158821.822851 8.42426948956 8.11456018485
ngc2903 2653447.3559 2189972.22698 82.477209798 79.0860572582
ngc2997 2129905.54316 1738194.5456 46.896275642 45.4521220922
ngc3137 20199.2952823 18307.9444017 14.5262741206 14.6896722632
ngc3239 0.0 0.0 nan nan
ngc3351 327686.881402 312906.339792 27.1508233848 27.4031266489
ngc3507 136923.108395 118427.701717 10.1295489903 10.2284254405
ngc3511 114807.373472 108445.234576 44.612541324 45.6344617639
ngc3521 2450465.80079 2097427.06879 92.1824553061 98.9295282689
ngc3596 200948.249063 174602.649037 17.9869105011 17.2973027092
ngc3621 1236067.61008 1012528.50202 104.141846881 111.556687185
ngc3626 32101.8076398 31009.7181823 12.9283305453 12.8875132197
ngc3627 1902197.04583 1549638.86767 95.8813830585 99.9221311657
ngc4207 85534.5344195 83602.6824189 30.4054924214 30.6265802251
ngc4254 779922.244252 623356.552915 44.3715560067 44.3369948432
ngc4293 210467.717449 206638.860729 53.3057570373 52.5030219167
ngc4298 130730.028632 119294.520133 52.4672501966 51.6213276507
ngc4303 543363.736203 397498.242952 35.2036979294 34.1657136495
ngc4321 692779.733675 555463.836891 31.3869142829 32.6303634853
ngc4424 58029.2436844 55189.5313655 24.4201388856 24.1702607493
ngc4457 310672.512003 289804.179931 51.0788207276 51.4760109288
ngc4496a 34519.9419047 29870.0242632 6.98832523234 6.80617985144
ngc4535 247960.968505 221143.254724 21.0749709382 20.9962721941
ngc4536 688194.877965 674868.959653 53.4966521036 57.8802874376
ngc4540 74268.0689526 66732.046448 13.3200237351 12.7972842427
ngc4548 64798.5027365 49678.287053 13.4980937735 14.8202242057
ngc4569 401000.337888 337329.150766 74.8171893169 79.7357534272
ngc4571 125217.56729 97798.5432314 8.33380906031 7.62013487817
ngc4579 192046.414126 164349.431382 22.3434820541 21.5498575601
ngc4689 293221.539948 259441.901895 13.7854844201 13.2197890113
ngc4694 26426.6847912 22785.6881205 15.6805904473 16.4642938912
ngc4731 13202.0305369 11540.3835897 16.5779282456 17.6556782948
ngc4781 213745.710661 190446.811551 34.1366114174 34.7504954479
ngc4826 1463817.68961 1339815.48511 300.65533999 330.402560965
ngc4941 41244.5249996 37134.0904565 23.0216406295 22.8369804619
ngc4951 73381.3319003 70645.7517631 21.3010351376 21.7887724874
ngc5042 52335.7468502 42250.2340546 9.42484673886 8.93072074011
ngc5068 285229.895829 222968.243644 15.7138473462 13.7031739417
ngc5134 82651.044907 65262.5407372 13.6725611519 13.1918793542
ngc5248 862873.868535 961258.110412 44.5589167759 45.2910801257
ngc5530 204949.526624 198159.619885 15.2614508992 14.9156935707
ngc5643 999620.545644 861774.746911 35.859342988 33.9784412439
ngc6300 932349.856017 889400.656625 27.3677486274 26.5284361676
ngc6744 830099.436649 726263.276775 12.1215823664 11.9423245286
ngc7456 6486.68853359 5338.44534159 16.7552897993 16.4079500907
ngc7496 91540.4168949 81653.6527804 36.9738750972 39.7741356621
