# area 7m feather tp2vis tpmodel
56.232 0.598 0.120 0.074 0.090
55.411 0.388 0.047 0.125 -0.014
134.596 0.423 0.042 -0.007 -0.010
63.187 0.525 0.038 0.281 -0.039
63.718 0.400 0.066 0.042 0.011
100.035 0.250 0.047 -0.027 -0.079
30.183 0.541 0.244 0.170 0.131
66.789 0.230 0.068 0.017 -0.049
57.337 0.478 0.128 0.092 0.057
86.799 0.409 0.184 0.071 0.100
44.614 0.268 0.051 0.059 -0.027
76.485 0.269 0.131 0.058 0.012
40.085 0.338 0.092 0.070 -0.010
62.406 0.382 0.056 0.036 -0.017
99.389 0.316 0.012 0.053 -0.067
82.624 0.353 0.016 0.035 -0.067
85.977 0.144 0.012 -0.010 -0.093
63.778 0.384 0.049 0.022 -0.026
50.736 0.705 0.177 0.205 0.132
65.051 0.558 0.041 0.087 -0.011
60.170 0.072 0.018 0.005 -0.100
67.787 0.524 0.202 0.153 0.149
121.183 0.133 -0.016 -0.017 -0.099
143.598 0.225 0.037 -0.001 -0.052
50.336 0.622 0.177 0.227 0.115
13.123 0.039 0.015 0.039 -0.052
91.461 0.126 0.029 0.059 -0.087
63.955 0.311 -0.062 0.123 -0.131
72.252 0.692 0.212 -0.003 0.179
118.094 0.588 0.091 -0.012 0.060
61.665 0.703 0.079 0.129 0.047
121.332 0.393 0.062 -0.024 0.012
24.521 0.200 0.092 0.133 -0.054
105.188 0.223 0.012 -0.011 -0.062
28.164 0.221 0.094 0.124 -0.046
110.583 0.638 0.061 0.006 0.028
28.221 0.216 0.088 0.067 0.009
89.258 0.214 -0.004 0.046 -0.100
123.173 0.266 0.050 -0.007 -0.039
25.780 0.257 0.124 0.183 0.040
41.429 0.568 0.149 0.238 0.077
48.974 0.366 0.093 0.166 0.003
93.013 0.155 0.022 0.056 -0.062
83.609 0.123 0.016 0.002 -0.080
40.402 0.527 0.140 0.269 0.107
86.459 0.348 0.039 0.078 -0.027
68.586 0.285 -0.010 0.121 -0.085
89.568 0.349 0.025 0.029 -0.038
72.285 0.556 0.060 0.121 0.055
25.601 0.311 0.132 0.221 0.050
54.370 0.390 0.141 0.159 0.048
64.424 0.594 0.120 0.030 0.072
72.826 0.392 0.065 -0.015 0.041
64.246 0.319 -0.118 0.081 -0.184
41.761 0.571 0.156 0.311 0.100
57.801 0.441 0.020 0.198 -0.006
124.991 0.325 0.053 0.023 -0.076
48.171 0.486 0.177 0.184 0.100
65.373 0.410 0.098 0.030 0.044
69.179 0.635 0.011 0.070 -0.044
102.659 0.190 0.007 0.025 -0.093
86.166 0.284 -0.021 0.019 -0.117
133.357 0.333 0.038 0.002 -0.051
51.687 0.323 -0.012 0.131 -0.081
