# 7m feather tp2vis tpmodel
-0.856 -0.045 -0.247 0.033
-0.833 -0.054 -0.371 0.022
-0.837 -0.015 0.031 0.087
-0.815 -0.037 -0.465 0.015
-0.832 -0.039 -0.203 0.049
-0.691 -0.015 0.042 0.161
-0.669 -0.144 -0.247 0.028
-0.650 -0.071 -0.273 0.129
-0.794 -0.048 -0.205 0.056
-0.731 -0.122 -0.206 -0.038
-0.654 -0.073 -0.214 0.129
-0.724 -0.133 -0.165 -0.004
-0.600 -0.099 -0.204 0.095
-0.803 -0.046 -0.137 0.065
-0.768 -0.020 -0.195 0.103
-0.845 -0.026 -0.205 0.066
-0.702 -0.020 -0.267 0.122
-0.816 -0.017 -0.166 0.078
-0.888 -0.079 -0.309 -0.047
-0.822 -0.051 -0.231 0.018
-0.605 -0.118 -0.193 0.109
-0.825 -0.059 -0.203 0.001
-0.800 -0.004 0.014 0.115
-0.772 0.008 0.082 0.158
-0.841 -0.074 -0.328 -0.005
-0.012 0.055 -0.004 0.249
-0.827 -0.057 -0.466 -0.017
-0.801 -0.051 -0.415 -0.017
-0.857 -0.026 -0.097 0.054
-0.868 -0.003 0.037 0.060
-0.870 -0.046 -0.264 0.013
-0.815 0.007 0.019 0.124
-0.323 -0.101 -0.214 0.217
-0.757 -0.013 -0.096 0.139
-0.369 -0.105 -0.237 0.203
-0.826 0.006 -0.109 0.097
-0.490 -0.135 -0.189 0.124
-0.808 -0.012 -0.266 0.095
-0.804 -0.006 -0.184 0.060
-0.451 -0.144 -0.335 0.097
-0.792 -0.097 -0.397 0.020
-0.730 -0.064 -0.380 0.052
-0.835 -0.039 -0.398 0.002
-0.701 -0.044 -0.028 0.140
-0.799 -0.099 -0.466 -0.032
-0.761 -0.037 -0.290 0.055
-0.839 -0.038 -0.403 0.015
-0.844 -0.013 -0.103 0.058
-0.889 -0.032 -0.282 -0.007
-0.571 -0.172 -0.417 -0.005
-0.724 -0.119 -0.267 0.023
-0.861 -0.053 -0.141 0.019
-0.749 -0.016 -0.068 0.080
-0.881 -0.055 -0.323 -0.012
-0.848 -0.116 -0.488 -0.047
-0.858 -0.058 -0.394 -0.025
-0.885 -0.036 -0.045 0.019
-0.830 -0.088 -0.300 0.002
-0.794 -0.045 -0.180 0.051
-0.858 -0.044 -0.162 0.038
-0.841 -0.017 -0.109 0.085
-0.833 -0.029 -0.095 0.080
-0.826 -0.035 -0.019 0.013
-0.825 -0.085 -0.461 -0.022
