# area 7m feather tp2vis tpmodel
56.232 1.111 6.991 3.391 8.210
55.411 1.057 7.358 2.489 8.080
134.597 1.072 15.122 26.672 11.303
63.187 1.092 7.969 1.974 8.690
63.718 1.093 8.329 4.178 11.494
100.035 1.133 8.384 15.792 6.178
30.183 0.981 4.483 2.470 5.627
66.796 1.112 5.475 2.227 3.764
57.337 1.140 6.374 3.983 7.694
86.803 1.187 4.953 4.290 5.351
44.614 1.117 7.668 3.208 5.076
76.485 1.143 4.642 5.473 4.829
40.085 1.087 6.841 2.491 6.797
62.406 1.104 8.821 6.048 11.527
99.389 1.092 8.812 4.089 6.228
82.624 1.084 11.055 4.130 10.497
85.988 1.119 9.251 2.866 7.189
63.778 1.063 6.000 3.078 6.916
50.736 1.057 5.030 3.133 5.995
65.051 1.099 7.179 3.957 7.819
60.170 1.268 4.952 3.888 4.769
67.787 1.087 5.437 4.738 6.012
121.183 1.089 17.033 27.434 9.163
143.598 1.101 10.080 10.975 5.718
50.336 1.087 4.518 2.857 5.276
13.123 1.050 1.147 1.099 1.118
91.467 1.037 8.099 1.900 6.804
63.955 1.080 6.646 2.209 7.631
72.252 1.091 5.943 6.804 6.096
118.094 1.068 12.178 20.839 8.156
61.665 1.081 8.963 3.642 11.447
121.332 1.118 10.267 19.989 6.368
24.521 1.896 8.466 3.034 2.497
105.191 1.063 11.342 7.481 6.446
28.164 1.660 6.747 2.672 3.322
110.591 1.098 11.639 5.984 7.522
28.221 1.387 5.725 3.965 4.225
89.267 1.089 11.530 3.163 9.133
123.192 1.055 10.488 4.508 7.451
25.780 1.399 5.847 1.930 4.768
41.429 1.074 6.206 2.133 9.188
48.974 1.153 4.026 2.387 4.227
93.030 1.048 8.648 2.284 7.109
83.609 1.149 8.177 12.886 5.597
40.402 1.103 5.215 2.002 6.414
86.461 1.108 6.294 3.071 6.888
68.588 1.045 9.550 2.363 11.527
89.568 1.065 8.999 8.653 10.075
72.285 1.035 11.519 3.194 13.846
25.601 1.279 4.818 1.822 6.910
54.370 1.125 4.370 3.259 6.065
64.424 1.055 7.234 5.637 7.712
72.826 1.118 7.819 5.072 4.705
64.251 1.042 7.201 2.893 7.885
41.761 1.068 4.324 1.924 5.407
57.801 1.037 6.426 2.416 7.559
124.991 1.027 11.403 18.998 13.119
48.171 1.069 5.393 3.233 6.100
65.375 1.101 9.798 4.250 10.976
69.179 1.070 9.385 5.758 12.593
102.659 1.076 11.980 8.009 11.093
86.166 1.108 10.462 9.464 11.531
133.357 1.052 11.954 31.933 13.471
51.687 1.054 5.545 1.988 6.606
