# distance(pc) r21 co21(Jy/b.km/s) co21snr co21(Jy/b.km/s) co10snr peak(Jy/b) disp(km/s) w1(Jy/b) w2(Jy/b) w3(Jy/b)
8.840292339232777522e+03 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 1.774156553437933326e-04 9.411336941411718726e-05 1.034509041346609592e-03
8.747567979858675244e+03 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 1.910833670990541577e-04 9.945249621523544192e-05 1.056732842698693275e-03
8.655904381435497271e+03 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 2.016000071307644248e-04 1.046064062393270433e-04 9.932159446179866791e-04
8.565335599772486603e+03 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 2.099660632666200399e-04 1.080942893167957664e-04 8.911223849281668663e-04
8.475896730691783887e+03 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 2.182223688578233123e-04 1.095608095056377351e-04 8.068492170423269272e-04
8.387623919634814229e+03 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 2.277746389154344797e-04 1.111025994759984314e-04 7.723019225522875786e-04
8.300554368181237805e+03 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 2.384328545304015279e-04 1.151872056652791798e-04 7.816393626853823662e-04
8.214726337110843815e+03 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 2.484853903297334909e-04 1.209355468745343387e-04 8.068971801549196243e-04
8.130179145610710293e+03 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 2.562069275882095098e-04 1.246496685780584812e-04 8.330789860337972641e-04
8.046953166026122744e+03 0.000000000000000000e+00 0.000000000000000000e+00 nan 0.000000000000000000e+00 nan 0.000000000000000000e+00 0.000000000000000000e+00 2.617825230117887259e-04 1.252469082828611135e-04 8.776558097451925278e-04
