# distance(pc) r21 r21err co21(Jy/b.km/s) peak(Jy/b) disp(km/s) w1(Jy/b) w2(Jy/b) w3(Jy/b)
1.067685207338418695e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.579283998580649495e-04 7.517185440519824624e-05 3.420964931137859821e-04
1.047817694258452684e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.582707918714731932e-04 7.572059985250234604e-05 3.129661490675061941e-04
1.028110595514319175e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.647622120799496770e-04 7.990522135514765978e-05 3.404114977456629276e-04
1.008573314415821187e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.705731992842629552e-04 8.373453601961955428e-05 3.948364465031772852e-04
9.892159128263820094e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.728209608700126410e-04 8.732816058909520507e-05 4.568682343233376741e-04
9.700491593113645649e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.719361753202974796e-04 9.161887282971292734e-05 5.198058788664638996e-04
9.510845800391807643e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.696847320999950171e-04 9.569690155331045389e-05 5.858275690115988255e-04
9.323345123270726617e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.672704383963719010e-04 9.585294901626184583e-05 6.521489704027771950e-04
9.138121606250404511e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.659069093875586987e-04 9.117506851907819510e-05 7.008438697084784508e-04
8.955316546299307447e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.692738587735220790e-04 8.609305950812995434e-05 7.115742191672325134e-04
8.775081090547848362e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.850831613410264254e-04 9.033280366566032171e-05 6.778874667361378670e-04
8.597576844156326842e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.231797552667558193e-04 1.149641102529130876e-04 6.228867569006979465e-04
8.422976479708197076e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.888273447751998901e-04 1.651847269386053085e-04 6.011318764649331570e-04
8.251464336848110179e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.578422765713185072e-04 2.196464774897322059e-04 6.322821136564016342e-04
8.083236997761461680e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.963100898545235395e-04 2.502500428818166256e-04 6.851676153019070625e-04
7.918503820419122349e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.819023841060698032e-04 2.386696141911670566e-04 7.049356936477124691e-04
7.757487407383658137e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.236465854570269585e-04 1.909767888719215989e-04 6.605391972698271275e-04
7.600423983201391820e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.573812962509691715e-04 1.343580806860700250e-04 5.883282283321022987e-04
7.447563648455875409e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.107795153278857470e-04 9.228553972207009792e-05 5.676708533428609371e-04
7.299170472970964511e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.860351767390966415e-04 6.946265057194977999e-05 6.206071120686829090e-04
7.155522385489533917e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.750079245539382100e-04 6.170768028823658824e-05 7.012177957221865654e-04
7.016910811961751278e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.711478980723768473e-04 6.381160346791148186e-05 7.553910254500806332e-04
6.883640010394732599e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.738436258165165782e-04 7.381528848782181740e-05 7.904791855253279209e-04
6.756026047661373013e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.843504869611933827e-04 9.096482972381636500e-05 8.576100808568298817e-04
6.634395363021549201e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.028878079727292061e-04 1.138599473051726818e-04 9.750941535457968712e-04
6.519082866466200358e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.245633222628384829e-04 1.369826204609125853e-04 1.113720005378127098e-03
6.410429526638750758e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.378875651629641652e-04 1.506329426774755120e-04 1.215735566802322865e-03
6.308779416018306620e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.309121045982465148e-04 1.461740030208602548e-04 1.240671030245721340e-03
6.214476199201491909e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.078712423099204898e-04 1.278182317037135363e-04 1.212832750752568245e-03
6.127859075249363741e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.820032193791121244e-04 1.054723397828638554e-04 1.163067528977990150e-03
6.049258216192270993e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.658392138779163361e-04 8.812875603325664997e-05 1.089162309654057026e-03
5.978989780006224464e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.631791674299165606e-04 7.906080281827598810e-05 9.601021301932632923e-04
5.917350616210165754e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.682914735283702612e-04 7.643167919013649225e-05 8.013765327632427216e-04
5.864612821212798735e+03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.739626168273389339e-04 7.719585846643894911e-05 7.127940189093351364e-04
