# galname pturb16 pturb50 pturb84 pturb50(center)
eso297g011 6211.39324722 247793.033102 756364.380497 394331.225105
eso297g012 105764.375426 921435.870175 3431300.04205 1932162.69906
ic4518e 84934.3525411 560833.552734 2104676.87128 697446.408665
ic4518w 315602.581879 1493198.70353 9319075.90104 7395271.21408
eso319 377945.971809 3356664.56754 9882032.86396 4592810.00008
ngc2369 721641.209094 4699268.08946 28455250.5845 29313670.2203
mcg02 23718.7107579 552866.025449 4215162.00719 1923797.95253
ic5179 10775.0635996 43543.2354852 397415.668125 1901843.31527
iras06592 515368.878085 5028081.74908 16677536.6073 11955926.7086
eso267 5698.35453627 26173.8264017 127460.096577 271738.886601
eso557 90253.5825127 1349550.41741 11279071.3396 3007990.51333
irasf10409 8390.04793402 304065.650473 4057051.27115 4446471.34163
ngc5257 2339.21571648 24655.3305529 1128341.45063 1844064.77984
ngc3110 8210.59274671 262190.859437 1369704.61914 1233208.22635
irasf17138 113764.694469 682735.58992 2003533.60786 1563240.4672
eso507 3355866.33604 36230403.905 149272856.971 73816521.1484
ngc3256 83215.9829562 992722.355603 5494628.18822 7058323.3971
ngc1614 163947.759026 1460550.85425 5452816.55352 5085172.56191
ngc6240 16476607.2396 291261344.346 762850718.805 418471517.687
