# galname pturb16 pturb50 pturb84
ic1954 551.490846986 2838.62004029 13782.4010385
ic5273 207.93129491 1274.38572174 14199.7711202
ngc0628 421.19237446 1685.85737886 5332.31009357
ngc0685 102.100878293 558.71214837 2646.04499428
ngc1087 1124.00815868 6938.74545651 186213.32369
ngc1097 12046.9952804 1296154.83937 7039269.88393
ngc1300 2015.7868792 75755.6009169 1169075.87418
ngc1317 5695.23860194 13655.32163 688326.719304
ngc1365 422510.769076 4801870.71731 15145430.6636
ngc1385 1771.71169486 11352.0331311 57661.5488201
ngc1433 2620.04608256 107047.903266 423935.023745
ngc1511 4937.72143727 35386.9063759 162278.28714
ngc1512 548.826050325 58553.1636876 182419.287133
ngc1546 9776.21105486 47175.1405086 130121.507123
ngc1559 2026.11666605 12539.4829437 51720.8011834
ngc1566 1961.59928805 34191.2671037 267704.48455
ngc1637 310.998653872 1420.5179839 211364.717297
ngc1672 4100.27254175 445616.89251 2341393.54418
ngc1792 6717.08934538 37175.7826705 132529.727249
ngc2090 747.697374043 2252.69877645 5055.90896442
ngc2283 197.790017733 1164.40872021 3842.11642955
ngc2566 10520.4341193 2688942.67333 9763023.11064
ngc2835 113.739275307 693.887859944 2478.142035
ngc2903 3452.32822926 33715.08824 849573.317615
ngc2997 1090.02134035 6779.09515562 157665.248881
ngc3137 221.456077225 936.827824871 2545.63665856
ngc3351 474.493684706 389045.632695 1064860.50055
ngc3507 360.921869921 2198.94606027 113636.851452
ngc3511 1416.81273026 6512.55643567 42511.4044981
ngc3521 4070.10056259 20826.9797839 48538.6555268
ngc3596 515.144444415 2181.5658286 6371.5815944
ngc3621 942.841147242 4131.15152087 11772.997564
ngc3626 1969.74328583 7336.40406625 64454.4693231
ngc3627 5902.99727641 54754.7901919 1382470.01596
ngc4207 10912.4104895 43387.4048474 164578.390314
ngc4254 2432.86802145 13577.3033011 52007.0219891
ngc4293 82889.0038807 2380991.8939 19177643.7128
ngc4298 946.994995326 3351.81588229 11241.3876038
ngc4303 2051.78898616 10408.5081642 183616.019007
ngc4321 1223.30025871 11347.6314421 542682.67079
ngc4424 5008.57517066 49662.8528475 184884.152841
ngc4457 5544.41160043 85908.2865648 1655940.58288
ngc4496a 145.52962094 798.980726149 3718.64068096
ngc4535 718.154803041 7184.34054464 828474.728151
ngc4536 2754.4174559 645291.504263 6464202.53436
ngc4540 385.263880665 1798.87631671 6523.53954514
ngc4548 305.755165506 2437.74931724 117954.32759
ngc4569 7652.55146344 70242.0567259 9994899.37281
ngc4571 89.7961718407 386.542143232 907.739125964
ngc4579 559.111393085 4092.05891718 1533487.42974
ngc4689 392.651017132 1771.95491036 5284.8076033
ngc4694 1814.00558756 33228.9491295 197939.380495
ngc4731 265.74031347 1920.31109579 7627.34506137
ngc4781 692.361608366 3895.58746723 16112.5961516
ngc4826 41219.029369 333071.92061 3690445.85326
ngc4941 145.997255505 547.49353208 89135.2144192
ngc4951 796.648322221 12962.5514439 424302.849195
ngc5042 78.7389119493 503.768672706 1969.9217264
ngc5068 108.667918146 578.717183468 1486.61282537
ngc5134 431.252535275 2782.28438724 16064.6951687
ngc5248 3926.85799242 83996.3573687 491348.48031
ngc5530 341.518914201 1380.49616138 4118.01615302
ngc5643 814.334050439 6177.68357642 691669.903935
ngc6300 1243.42811444 8108.65739872 2243461.78021
ngc6744 239.8639453 1134.96747927 3468.84422339
ngc7456 39.1337731654 258.68695988 694.967314238
ngc7496 737.274230381 42345.5327675 2578747.71076
