# galname virial16 virial50 virial84 virial50(center)
eso297g011 5.53689168488 8.20776742696 12.8846795986 6.59696671939
eso297g012 6.33230417142 10.6764636292 19.3171565806 8.60518860105
ic4518e 8.49521791445 20.8702207859 37.4359004778 6.44790931247
ic4518w 13.3799516589 24.0066753097 42.1017225792 26.181959808
eso319 5.76588697029 11.0966682803 27.9351877035 8.78083213162
ngc2369 8.09501617799 14.9229770109 27.4439877616 14.970054097
mcg02 5.11507103489 10.7274542956 22.0477831138 6.81808655162
ic5179 6.85795365454 11.1524874524 18.1526046743 12.7505971221
iras06592 6.89308345463 10.8563500207 18.0441985147 9.17019517745
eso267 5.31081416961 7.74855241363 11.5170319221 13.4023920489
eso557 4.06009629231 5.06043779522 7.07981309765 4.90150241856
irasf10409 5.3341380646 8.06157082527 13.2364637979 8.5431092256
ngc5257 6.37493772707 9.9112961376 15.0194248881 13.1389803965
ngc3110 7.22594548701 13.0173310035 24.4254494513 8.65991054398
irasf17138 5.28397584618 9.84425360054 22.2066977875 7.60108308881
eso507 7.24835903129 12.4417332801 20.6641850273 10.4919038495
ngc3256 4.91170640902 9.79291105889 21.5368989987 6.45636516479
ngc1614 6.17501038029 10.3068822115 19.2751417543 6.97965509454
ngc6240 6.67704379836 11.7111673845 24.0793031751 10.4481313621
