# galname virial16 virial50 virial84
ic1954 3.82690474123 6.18024463913 9.90874397031
ic5273 3.68800833939 6.46929046255 10.9366900105
ngc0628 2.35425070193 4.0305393934 6.91394617718
ngc0685 3.47112398167 5.94001626797 8.54958354516
ngc1087 3.01071570478 5.06146878153 7.88344660427
ngc1097 2.54882012298 6.18560693956 14.3361219217
ngc1300 2.04602993835 3.33140245779 6.63052403545
ngc1317 1.89115741076 3.31279954859 8.32063857683
ngc1365 1.1728025447 2.45357227256 6.76269241169
ngc1385 1.70646354256 2.88535902762 4.64667977805
ngc1433 3.04698235401 4.74598122295 9.06944938074
ngc1511 2.27174369218 4.94688598635 9.24428373741
ngc1512 2.13333393028 3.84651639573 7.56275864775
ngc1546 1.72514593822 2.9208919161 5.39349035579
ngc1559 1.97671835542 3.44832746053 5.84117295399
ngc1566 1.86071342196 3.06382467774 5.42056918559
ngc1637 4.65927247507 8.39310844332 15.9218062262
ngc1672 1.99573639897 3.92054162659 7.0559340971
ngc1792 1.68372544328 2.94132782751 5.40915670233
ngc2090 3.58325456145 5.6756640443 8.46959758164
ngc2283 4.67198990792 6.87548468949 10.5066992542
ngc2566 1.27055858291 2.73918992075 5.71636194186
ngc2835 2.6851601915 4.34966673078 6.48330963574
ngc2903 3.12123231191 6.11593701198 12.1170979599
ngc2997 2.51113416237 4.78014657213 9.07191659214
ngc3137 3.87787558525 5.77604865459 8.61917724628
ngc3351 2.02932286398 4.55155707613 7.2248258316
ngc3507 2.08667229994 3.32978602582 6.01008208532
ngc3511 4.34829889444 7.44055334905 11.8469060916
ngc3521 1.98945809786 3.46486337151 6.78699401758
ngc3596 3.68827152298 5.28024941428 7.45603756071
ngc3621 2.62481985566 5.12102268484 10.5883303191
ngc3626 4.03875252694 6.35769205756 11.4451549822
ngc3627 1.95171250787 4.10536230149 8.26623122463
ngc4207 1.63063849314 3.10903547632 5.98335259253
ngc4254 1.22060124753 2.16625966798 4.1103625588
ngc4293 3.31209907226 5.62621339625 9.82880779579
ngc4298 2.63379913748 4.18217510082 7.147886036
ngc4303 1.4238225402 2.27912079106 3.83634584707
ngc4321 1.66250901045 2.72585042229 4.47222755296
ngc4424 1.97402619142 3.66427943042 7.28381627095
ngc4457 3.35880169702 7.23775561713 12.8208862339
ngc4496a 2.2093884397 3.59946448844 5.17800462958
ngc4535 2.10421862317 3.49048060805 5.90033685011
ngc4536 2.95056706926 5.04629527553 12.8172985352
ngc4540 2.53350899055 3.82308816643 5.28794507417
ngc4548 3.11533045383 5.75508483286 11.8839225967
ngc4569 2.75585717562 4.91332784744 9.25507345327
ngc4571 2.70091741825 3.79963081374 5.17526338715
ngc4579 3.12511023202 6.00945557316 21.4427742813
ngc4689 2.19290404174 3.20011880998 4.5852644826
ngc4694 3.99214747164 5.88241025219 8.93665715379
ngc4731 7.71847950771 11.7588790952 19.5607830807
ngc4781 3.74129423212 6.70299458289 11.0029847308
ngc4826 5.14786226368 10.3820757937 17.4125033178
ngc4941 5.14384672296 8.81452536304 22.7159271354
ngc4951 6.90176391519 8.80518637562 15.9856265653
ngc5042 3.93319457123 6.32192914198 9.45366568913
ngc5068 2.94098639968 4.97277505023 7.51215950153
ngc5134 3.41666152456 5.62422817892 10.542332013
ngc5248 2.45497846674 4.33146788849 7.49840734483
ngc5530 3.35400563447 5.04557751089 7.13031805474
ngc5643 2.91111953415 5.09693062406 9.59243269635
ngc6300 2.52780627085 5.19939792904 10.6436388125
ngc6744 1.66042603556 2.61565782402 4.00508024769
ngc7456 14.3214182001 20.8984840253 28.8746804515
ngc7496 2.29445425458 4.55717476863 8.67377375131
