# galname nchan start width imsize cell pblimit robust rms snr_mask pbcut_mom
am0612  0 0 0 0 0 0 2.0 0 2.5 0
am0956  10   850 20 256 0.60 0.50 2.0 0.0030 2.5 0.5
am1158  15  2850 20 512 0.25 0.50 2.0 0.0030 2.5 0.5
am1255  30  8500 20 512 0.25 0.50 2.0 0.0030 2.5 0.5
am1300  40  5900 20 512 0.25 0.50 2.0 0.0030 2.5 0.5
am2038  50  5500 20 512 0.30 0.50 2.0 0.0025 2.5 0.85
am2055  30 12150 20 512 0.25 0.50 2.0 0.0030 2.5 0.5
am2246  0 0 0 0 0 0 2.0 0 2.0 0
arp187  0 0 0 0 0 0 2.0 0 2.0 0
arp230  20  1500 20 128 0.90 0.50 2.0 0.0030 2.5 0.5
ngc3597 20  3300 20 512 0.25 0.50 2.0 0.0030 2.5 0.5
ngc7135 20  2500 20 512 0.30 0.50 2.0 0.0030 2.5 0.5
ngc7252 0 0 0 0 0 0 2.0 0 2.0 0
ngc7727 0 0 0 0 0 0 2.0 0 2.0 0
