# galname tplinechans tp2viswt_multiply statwt_7m_exclude statwt_12m_exclude
am0612   80~150 1 0~1 0~1
am0956  100~150  100 1900~2200 2300~2700
am1158  100~135   10 1900~2200 1700~2200
am1255  100~140    5 1700~2300  600~1400
am1300   90~150    5 1600~2600 2500~3400
am2038  105~140    5 1600~2400  100~700
am2055  100~140   10 1700~2300 1500~2500
am2246   50~150 1 1700~2500 0~1
arp187   90~150 1 1600~2600 0~1
arp230  200~280 1000 1900~2200 2100~2700
ngc3597 100~140   10 1700~2400 1300~1700
ngc7135 100~140    3 1900~2300    0~1
ngc7252 100~140 1 0~1 0~1
ngc7727  90~160 1 0~1 0~1
